Designator,Mid X,Mid Y,Rotation,Layer
_3,83.0,-123.9,0.0,top
_2,217.790966,-27.284963,0.0,top
,82.95,-27.3,0.0,top
C1,202.947429,-48.909125,0.0,top
D151,102.024411,-141.605,180.0,top
D153,112.25,-150.32,90.0,top
J1,83.138,-136.15,0.0,top
J2,173.05,-146.15,270.0,top
J3,213.875,-56.725,270.0,top
L4,156.5,-150.1,0.0,top
Q151,85.50929,-154.848979,180.0,top
Q152,128.095,-137.3,270.0,top
R163,98.75,-136.15,0.0,top
R164,93.385,-155.8,90.0,top
R165,99.2,-155.8,90.0,top
R166,104.902,-155.7795,90.0,top
R167,93.385,-151.0,90.0,top
R168,99.2,-151.0,90.0,top
R169,104.902,-150.9795,90.0,top
R170,93.385,-146.6,90.0,top
R171,99.190373,-146.588952,270.0,top
R172,104.902,-146.5795,90.0,top
RL1,132.45,-151.05,90.0,top
U1,202.947429,-52.719125,270.0,top
ZD151,80.01,-149.86,90.0,top
